"",track_name,id,track_pop,artist_name,artist_pop,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,save
33,Wesley's Theory,spotify:track:7Ks4VCY1wFebnOdJrM13t6,74,Kendrick Lamar,88,"[conscious hip hop, hip hop, rap, west coast rap]",0.509,0.787,7,-6.754,1,0.2650,0.359000,0.000028,0.2600,0.507,114.449,audio_features,7Ks4VCY1wFebnOdJrM13t6,spotify:track:7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/tracks/7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/audio-analysis/7Ks4VCY1wFebnOdJrM13t6,287360,4,1
34,Me and Your Mama,spotify:track:31tf1qEai5o5f4r66Kd0pU,2,Childish Gambino,79,"[atl hip hop, hip hop, rap]",0.554,0.433,5,-12.628,1,0.0341,0.011600,0.0449,0.0667,0.237,117.996,audio_features,31tf1qEai5o5f4r66Kd0pU,spotify:track:31tf1qEai5o5f4r66Kd0pU,https://api.spotify.com/v1/tracks/31tf1qEai5o5f4r66Kd0pU,https://api.spotify.com/v1/audio-analysis/31tf1qEai5o5f4r66Kd0pU,379227,3,1
35,Cheyenne,spotify:track:3EofjRgUI1WrzqqtLb8NoF,52,Jason Derulo,80,"[dance pop, pop]",0.554,0.768,6,-5.812,0,0.1270,0.012600,0.000007,0.1220,0.324,99.679,audio_features,3EofjRgUI1WrzqqtLb8NoF,spotify:track:3EofjRgUI1WrzqqtLb8NoF,https://api.spotify.com/v1/tracks/3EofjRgUI1WrzqqtLb8NoF,https://api.spotify.com/v1/audio-analysis/3EofjRgUI1WrzqqtLb8NoF,215107,4,1
36,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ,88,Tame Impala,79,"[australian psych, modern rock, neo-psychedelic, rock]",0.640,0.740,4,-4.083,1,0.0284,0.011500,0.00678,0.1670,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,1
37,Charcoal Baby,spotify:track:3bBmpVl9rQKJsFFGLFilIS,66,Blood Orange,60,"[alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis]",0.622,0.460,7,-8.389,0,0.0372,0.140000,0.000369,0.1190,0.514,183.241,audio_features,3bBmpVl9rQKJsFFGLFilIS,spotify:track:3bBmpVl9rQKJsFFGLFilIS,https://api.spotify.com/v1/tracks/3bBmpVl9rQKJsFFGLFilIS,https://api.spotify.com/v1/audio-analysis/3bBmpVl9rQKJsFFGLFilIS,242341,4,1
38,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,89,Kendrick Lamar,88,"[conscious hip hop, hip hop, rap, west coast rap]",0.698,0.633,8,-4.946,1,0.0597,0.060500,0.000194,0.0926,0.552,96.924,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4,1
39,The Living Daylights,spotify:track:4tWe3Fr8HrQPq2iFOpEGZs,54,a-ha,71,"[new romantic, new wave, new wave pop, permanent wave, synthpop]",0.694,0.780,2,-7.872,0,0.0267,0.121000,0.00157,0.1140,0.829,120.266,audio_features,4tWe3Fr8HrQPq2iFOpEGZs,spotify:track:4tWe3Fr8HrQPq2iFOpEGZs,https://api.spotify.com/v1/tracks/4tWe3Fr8HrQPq2iFOpEGZs,https://api.spotify.com/v1/audio-analysis/4tWe3Fr8HrQPq2iFOpEGZs,254347,4,1
40,Kiss the Devil,spotify:track:2zXKiHyqXqcCfdDoJ8p4uH,30,Bel Heir,18,[gauze pop],0.274,0.798,4,-6.415,1,0.0895,0.069700,0.0,0.3380,0.765,82.075,audio_features,2zXKiHyqXqcCfdDoJ8p4uH,spotify:track:2zXKiHyqXqcCfdDoJ8p4uH,https://api.spotify.com/v1/tracks/2zXKiHyqXqcCfdDoJ8p4uH,https://api.spotify.com/v1/audio-analysis/2zXKiHyqXqcCfdDoJ8p4uH,190994,4,1
41,Forgive Me,spotify:track:3IUiA6msgyFl3f8kzbdgQP,55,ODESZA,68,"[chillwave, edm, indietronica]",0.663,0.827,9,-3.135,0,0.0372,0.018500,0.00104,0.2650,0.395,104.985,audio_features,3IUiA6msgyFl3f8kzbdgQP,spotify:track:3IUiA6msgyFl3f8kzbdgQP,https://api.spotify.com/v1/tracks/3IUiA6msgyFl3f8kzbdgQP,https://api.spotify.com/v1/audio-analysis/3IUiA6msgyFl3f8kzbdgQP,208017,4,1
42,Yes I'm Changing,spotify:track:0xtIp0lgccN85GfGOekS5L,72,Tame Impala,79,"[australian psych, modern rock, neo-psychedelic, rock]",0.373,0.609,0,-7.000,1,0.0316,0.108000,0.000427,0.0755,0.354,179.955,audio_features,0xtIp0lgccN85GfGOekS5L,spotify:track:0xtIp0lgccN85GfGOekS5L,https://api.spotify.com/v1/tracks/0xtIp0lgccN85GfGOekS5L,https://api.spotify.com/v1/audio-analysis/0xtIp0lgccN85GfGOekS5L,270680,4,1
43,I Look to You,spotify:track:4i7HrBTsaocmoNPoifG7Bd,61,Miami Horror,53,"[alternative dance, australian dance, australian electropop, electroclash, filter house, indietronica, neo-synthpop, nu disco]",0.604,0.872,4,-5.023,0,0.1030,0.069600,0.0176,0.0484,0.473,118.026,audio_features,4i7HrBTsaocmoNPoifG7Bd,spotify:track:4i7HrBTsaocmoNPoifG7Bd,https://api.spotify.com/v1/tracks/4i7HrBTsaocmoNPoifG7Bd,https://api.spotify.com/v1/audio-analysis/4i7HrBTsaocmoNPoifG7Bd,233230,4,1
44,Minetta Creek,spotify:track:7Kt7c9Q2B7hSyiTZvGQ37D,59,Blood Orange,60,"[alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis]",0.761,0.556,6,-9.999,1,0.0483,0.104000,0.912,0.1050,0.905,129.578,audio_features,7Kt7c9Q2B7hSyiTZvGQ37D,spotify:track:7Kt7c9Q2B7hSyiTZvGQ37D,https://api.spotify.com/v1/tracks/7Kt7c9Q2B7hSyiTZvGQ37D,https://api.spotify.com/v1/audio-analysis/7Kt7c9Q2B7hSyiTZvGQ37D,118051,4,1
45,Destiny feat. Pional,spotify:track:09KTlWCEYWKKprzoy5QgMS,0,John Talabot,36,"[balearic, electronica, future garage, microhouse, minimal techno]",0.649,0.800,10,-9.663,0,0.0345,0.036100,0.343,0.0708,0.342,111.001,audio_features,09KTlWCEYWKKprzoy5QgMS,spotify:track:09KTlWCEYWKKprzoy5QgMS,https://api.spotify.com/v1/tracks/09KTlWCEYWKKprzoy5QgMS,https://api.spotify.com/v1/audio-analysis/09KTlWCEYWKKprzoy5QgMS,293627,4,1
46,Everybody Wants To Rule The World,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,91,Tears For Fears,74,"[new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop]",0.645,0.795,7,-12.095,1,0.0527,0.347000,0.00389,0.1040,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4,1
47,Latch,spotify:track:1DunhgeZSEgWiIYbHqXl0c,74,Disclosure,72,"[edm, house, indietronica, uk dance]",0.729,0.735,1,-5.455,1,0.0919,0.017800,0.000193,0.0890,0.544,121.986,audio_features,1DunhgeZSEgWiIYbHqXl0c,spotify:track:1DunhgeZSEgWiIYbHqXl0c,https://api.spotify.com/v1/tracks/1DunhgeZSEgWiIYbHqXl0c,https://api.spotify.com/v1/audio-analysis/1DunhgeZSEgWiIYbHqXl0c,255867,4,1
48,Clocks,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,85,Coldplay,88,"[permanent wave, pop]",0.577,0.749,5,-7.215,0,0.0279,0.599000,0.0115,0.1830,0.255,130.970,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4,1
49,Moon Theory,spotify:track:4AyjstjONX27kSFbVG0Hgq,49,Miami Horror,53,"[alternative dance, australian dance, australian electropop, electroclash, filter house, indietronica, neo-synthpop, nu disco]",0.615,0.869,5,-5.000,0,0.0311,0.003050,0.000364,0.3690,0.708,121.962,audio_features,4AyjstjONX27kSFbVG0Hgq,spotify:track:4AyjstjONX27kSFbVG0Hgq,https://api.spotify.com/v1/tracks/4AyjstjONX27kSFbVG0Hgq,https://api.spotify.com/v1/audio-analysis/4AyjstjONX27kSFbVG0Hgq,263288,4,1
50,The Adults Are Talking,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,83,The Strokes,75,"[alternative rock, garage rock, modern rock, permanent wave, rock]",0.593,0.749,5,-5.670,1,0.0475,0.011300,0.106,0.3140,0.649,164.959,audio_features,5ruzrDWcT0vuJIOMW7gMnW,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/audio-analysis/5ruzrDWcT0vuJIOMW7gMnW,309053,4,1
